iter	Passed	Remaining
210	335	1252
211	335	1248
212	336	1244
213	337	1240
214	338	1236
215	339	1232
216	340	1228
217	341	1224
218	342	1221
219	343	1217
220	344	1214
221	345	1210
222	346	1207
223	347	1204
224	348	1200
225	349	1196
226	350	1193
227	351	1189
228	352	1185
229	352	1181
230	353	1178
231	354	1174
232	355	1171
233	356	1167
234	357	1164
235	358	1161
236	359	1157
237	360	1154
238	361	1150
239	362	1147
240	363	1143
241	363	1139
242	364	1136
243	365	1133
244	366	1129
245	367	1126
246	368	1123
247	369	1119
248	370	1116
249	371	1113
250	372	1110
251	373	1107
252	373	1104
253	374	1101
254	375	1097
255	376	1094
256	377	1091
257	378	1088
258	379	1086
259	380	1083
260	381	1080
261	382	1077
262	383	1074
263	384	1071
264	385	1068
265	386	1065
266	387	1062
267	388	1059
268	388	1057
269	389	1053
270	390	1050
271	391	1048
272	393	1046
273	394	1044
274	394	1041
275	395	1038
276	396	1035
277	397	1033
278	398	1030
279	399	1027
280	400	1024
281	401	1022
282	402	1019
283	403	1016
284	404	1013
285	404	1010
286	405	1007
287	406	1005
288	407	1002
289	408	1000
290	409	997
291	410	994
292	411	992
293	412	989
294	413	987
295	413	984
296	414	981
297	415	979
298	416	977
299	417	974
300	418	972
301	419	969
302	420	967
303	421	964
304	422	962
305	423	960
306	424	957
307	425	955
308	426	952
309	427	950
310	428	948
311	428	945
312	429	943
313	430	941
314	431	938
315	432	936
316	433	934
317	434	931
318	435	929
319	436	926
320	437	924
321	438	922
322	439	920
323	439	917
324	440	915
325	441	912
326	442	910
327	443	908
328	444	906
329	445	903
330	446	901
331	446	899
332	447	896
333	448	894
334	449	892
335	450	890
336	451	888
337	452	886
338	453	883
339	454	881
340	455	879
341	455	877
342	456	875
343	457	873
344	458	870
345	459	868
346	460	866
347	461	864
348	462	861
349	463	859
350	463	857
351	464	855
352	465	854
353	466	851
354	467	849
355	468	848
356	469	845
357	470	843
358	471	841
359	472	839
360	473	837
361	473	835
362	474	833
363	475	831
364	476	829
365	477	827
366	478	825
367	479	823
368	480	821
369	481	820
370	482	817
371	483	815
372	484	813
373	485	811
374	485	809
375	486	807
376	487	805
377	488	804
378	489	802
379	490	800
380	491	798
381	492	796
382	493	794
383	494	792
384	495	790
385	495	788
386	496	786
387	497	785
388	498	782
389	499	781
390	500	779
391	501	777
392	502	775
393	503	773
394	504	772
395	504	770
396	505	768
397	506	766
398	507	765
399	508	763
400	509	761
401	510	759
402	511	757
403	512	755
404	513	754
405	514	752
406	515	750
407	516	749
408	517	747
409	518	745
410	519	743
411	519	742
412	520	740
413	521	738
414	522	736
415	523	734
416	524	732
417	525	731
418	526	729
419	527	727
420	528	726
421	529	724
422	529	722
423	530	721
424	531	719
425	532	717
426	533	715
427	534	714
428	535	712
429	536	710
430	537	709
431	537	707
432	538	705
433	539	703
434	540	702
435	541	700
436	542	698
437	543	697
438	544	695
439	545	693
440	545	692
441	546	690
442	547	688
443	548	686
444	549	685
445	550	683
446	551	681
447	552	680
448	553	678
449	553	677
450	554	675
451	555	673
452	556	672
453	557	670
454	558	669
455	559	667
456	560	666
457	561	664
458	562	663
459	563	661
460	564	660
461	565	658
462	566	656
463	567	655
464	568	654
465	569	652
466	570	651
467	571	649
468	572	647
469	573	646
470	574	644
471	574	643
472	575	641
473	576	640
474	577	638
475	578	637
476	579	635
477	580	634
478	581	632
479	582	631
480	583	629
481	584	628
482	585	626
483	586	625
484	587	623
485	588	622
486	589	620
487	590	619
488	591	617
489	592	616
490	593	615
491	594	613
492	595	612
493	596	610
494	596	608
495	597	607
496	598	605
497	599	604
498	600	602
499	601	601
500	602	599
501	603	598
502	604	596
503	605	595
504	606	594
505	607	592
506	608	591
507	609	589
508	610	588
509	611	587
510	612	585
511	613	584
512	614	583
513	615	581
514	616	580
515	616	578
516	617	577
517	618	575
518	619	574
519	620	572
520	621	571
521	622	569
522	623	568
523	624	566
524	624	565
525	625	564
526	626	562
527	627	561
528	628	559
529	629	558
530	630	556
531	631	555
532	632	554
533	633	552
534	634	551
535	635	549
536	636	548
537	637	547
538	638	545
539	639	544
540	639	542
541	640	541
542	642	540
543	643	539
544	644	538
545	645	536
546	646	535
547	647	533
548	648	532
549	649	531
550	650	529
551	650	528
552	651	526
553	652	525
554	653	523
555	654	522
556	655	521
557	656	519
558	657	518
559	658	517
560	658	515
561	659	514
562	660	512
563	661	511
564	662	510
565	663	508
566	664	507
567	665	506
568	666	504
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	672	496
575	673	495
576	674	494
577	675	492
578	675	491
579	677	490
580	677	488
581	678	487
582	679	486
583	680	484
584	681	483
585	682	482
586	683	480
587	684	479
588	685	478
589	686	476
590	687	475
591	687	474
592	688	472
593	689	471
594	690	469
595	691	468
596	692	467
597	693	466
598	694	464
599	695	463
600	696	462
601	696	460
602	697	459
603	698	457
604	699	456
605	700	455
606	701	454
607	702	452
608	703	451
609	704	450
610	705	448
611	706	447
612	706	446
613	707	444
614	708	443
615	709	442
616	710	440
617	711	439
618	712	438
619	713	437
620	714	435
621	714	434
622	715	433
623	716	431
624	717	430
625	718	429
626	719	427
627	720	426
628	721	425
629	722	424
630	723	422
631	724	421
632	725	420
633	725	419
634	726	417
635	727	416
636	728	415
637	729	413
638	730	412
639	731	411
640	732	410
641	733	408
642	733	407
643	734	406
644	735	404
645	736	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	742	396
652	742	394
653	743	393
654	744	392
655	745	391
656	746	389
657	747	388
658	748	387
659	749	386
660	750	384
661	751	383
662	752	382
663	753	381
664	754	379
665	754	378
666	755	377
667	756	376
668	757	374
669	758	373
670	759	372
671	760	371
672	761	369
673	762	368
674	763	367
675	764	366
676	765	365
677	766	363
678	766	362
679	767	361
680	768	360
681	769	358
682	770	357
683	771	356
684	772	355
685	773	353
686	773	352
687	775	351
688	776	350
689	776	349
690	777	347
691	778	346
692	779	345
693	780	344
694	781	342
695	782	341
696	783	340
697	784	339
698	785	338
699	786	336
700	786	335
701	787	334
702	789	333
703	790	332
704	791	331
705	792	329
706	793	328
707	793	327
708	794	326
709	795	324
710	796	323
711	797	322
712	798	321
713	799	320
714	799	318
715	800	317
716	802	316
717	802	315
718	803	314
719	804	312
720	805	311
721	806	310
722	807	309
723	808	308
724	809	307
725	810	305
726	811	304
727	812	303
728	813	302
729	814	301
730	815	300
731	816	298
732	817	297
733	817	296
734	818	295
735	819	294
736	820	292
737	821	291
738	822	290
739	823	289
740	824	288
741	825	286
742	826	285
743	827	284
744	828	283
745	829	282
746	830	281
747	831	280
748	832	279
749	833	277
750	834	276
751	835	275
752	836	274
753	837	273
754	838	272
755	839	271
756	840	269
757	841	268
758	842	267
759	843	266
760	844	265
761	845	264
762	846	263
763	847	261
764	849	260
765	850	259
766	851	258
767	852	257
768	853	256
769	854	255
770	855	254
771	856	252
772	857	251
773	858	250
774	859	249
775	860	248
776	861	247
777	862	246
778	863	245
779	864	243
780	865	242
781	866	241
782	867	240
783	868	239
784	869	238
785	870	237
786	871	235
787	872	234
788	873	233
789	874	232
790	875	231
791	876	230
792	877	229
793	878	227
794	879	226
795	880	225
796	881	224
797	882	223
798	883	222
799	884	221
800	885	219
801	886	218
802	887	217
803	888	216
804	889	215
805	890	214
806	891	213
807	892	211
808	893	210
809	894	209
810	895	208
811	896	207
812	897	206
813	898	205
814	898	204
815	899	202
816	900	201
817	901	200
818	903	199
819	904	198
820	905	197
821	906	196
822	907	195
823	908	194
824	909	192
825	910	191
826	911	190
827	912	189
828	913	188
829	914	187
830	915	186
831	916	185
832	917	183
833	918	182
834	919	181
835	920	180
836	921	179
837	922	178
838	923	177
839	924	176
840	925	174
841	926	173
842	926	172
843	927	171
844	928	170
845	929	169
846	930	168
847	931	167
848	933	165
849	934	164
850	935	163
851	935	162
852	936	161
853	937	160
854	938	159
855	939	158
856	940	157
857	941	155
858	942	154
859	943	153
860	944	152
861	945	151
862	946	150
863	948	149
864	949	148
865	949	146
866	950	145
867	951	144
868	952	143
869	953	142
870	954	141
871	955	140
872	956	139
873	957	137
874	958	136
875	959	135
876	960	134
877	961	133
878	962	132
879	963	131
880	964	130
881	964	129
882	965	127
883	966	126
884	967	125
885	968	124
886	969	123
887	970	122
888	971	121
889	972	120
890	973	119
891	973	117
892	974	116
893	975	115
894	976	114
895	977	113
896	978	112
897	979	111
898	980	110
899	981	109
900	982	107
901	983	106
902	984	105
903	985	104
904	986	103
905	987	102
906	988	101
907	989	100
908	990	99
909	991	98
910	992	96
911	993	95
912	994	94
913	995	93
914	996	92
915	997	91
916	998	90
917	999	89
918	999	88
919	1001	87
920	1002	85
921	1003	84
922	1004	83
923	1004	82
924	1005	81
925	1006	80
926	1007	79
927	1008	78
928	1009	77
929	1010	76
930	1011	74
931	1012	73
932	1013	72
933	1014	71
934	1015	70
935	1015	69
936	1016	68
937	1017	67
938	1018	66
939	1019	65
940	1020	63
941	1021	62
942	1022	61
943	1023	60
944	1024	59
945	1025	58
946	1026	57
947	1026	56
948	1027	55
949	1028	54
950	1029	53
951	1030	51
952	1031	50
953	1032	49
954	1033	48
955	1034	47
956	1035	46
957	1036	45
958	1037	44
959	1038	43
960	1039	42
961	1040	41
962	1041	40
963	1042	38
964	1043	37
965	1044	36
966	1045	35
967	1046	34
968	1047	33
969	1047	32
970	1048	31
971	1049	30
972	1050	29
973	1051	28
974	1052	26
975	1054	25
976	1055	24
977	1056	23
978	1056	22
979	1057	21
980	1058	20
981	1059	19
982	1060	18
983	1061	17
984	1062	16
985	1063	15
986	1064	14
987	1065	12
988	1066	11
989	1067	10
990	1068	9
991	1069	8
992	1070	7
993	1071	6
994	1072	5
995	1073	4
996	1074	3
997	1075	2
998	1076	1
999	1077	0
